collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,address
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,a5db200f-ee79-4ae6-9e01-ca85ef1c9ba1,2026-04-03 01:17:31,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",22,14:ca:56:f5:f9:22,Clara wifi_5G,-37,5520,104,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Soi Udom Suk 3 - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,b8:5d:c3:02:04:c8,Trent_2.4G,-59,2427,4,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],,ซอยซิตี้โฮม - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,aa:26:1e:3a:2c:5d,Galaxy A53 5G1F1A,-79,2437,6,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,ซอยซิตี้โฮม - Bang Na District - Bangkok - Thailand
f72ddab0-3c29-4f0b-b1a1-a5d660ff56a0,akmfirst,c1792deb-2be4-49fb-96a4-6d610f85a75c,2026-04-03 01:35:25,"Lat: 13.6807076, Lng: 100.6099783, Accuracy: 100.0m",18,58:d3:12:b0:a7:3c,BKK Ross_2.4G,-78,2452,9,2.4 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,0e:01:4b:4f:59:47,<hidden>,-82,5300,60,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,ซอยซิตี้โฮม - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,62:10:9e:59:44:54,SAR 2.4G,-82,2412,1,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],,ซอยซิตี้โฮม - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,0e7c8f48-a0ef-4693-b4c1-b4403119a2cc,2026-04-03 01:20:21,"Lat: 13.681149239412873, Lng: 100.61019149802068, Accuracy: 4.7m",92,7a:53:0d:18:24:72,Hill_high_bridge_5G,-78,5805,161,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,58:d3:12:b0:a7:3d,BKK Ross_5G,-84,5280,56,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,ซอยซิตี้โฮม - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4f300f66-fbd2-4ef5-bf06-2cbb4b4a113e,2026-04-03 01:20:40,"Lat: 13.680905139966903, Lng: 100.61010832580418, Accuracy: 4.7m",77,cc:29:bd:d1:a3:a4,Citrus_5G,-82,5320,64,5 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],,Soi Udom Suk 3 - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,20:9a:e9:05:a4:52,angeltofly_2.4G,-85,2462,11,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],,ซอยซิตี้โฮม - Bang Na District - Bangkok - Thailand
