collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,merged_count
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,14:ca:56:f5:f9:22,Clara wifi_5G,-59,5520,104,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,43
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,b8:5d:c3:02:04:c8,Trent_2.4G,-59,2427,4,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,aa:26:1e:3a:2c:5d,Galaxy A53 5G1F1A,-79,2437,6,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,58:d3:12:b0:a7:3c,BKK Ross_2.4G,-81,2452,9,2.4 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,0e:01:4b:4f:59:47,<hidden>,-82,5300,60,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,62:10:9e:59:44:54,SAR 2.4G,-82,2412,1,2.4 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,7a:53:0d:18:24:72,Hill_high_bridge_5G,-84,5805,161,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,35
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,58:d3:12:b0:a7:3d,BKK Ross_5G,-84,5280,56,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,cc:29:bd:d1:a3:a4,Citrus_5G,-85,5320,64,5 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],Unknown,60
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,20:9a:e9:05:a4:52,angeltofly_2.4G,-85,2462,11,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,0c:01:4b:3f:59:47,SINSANTI 5G,-85,5300,60,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,64:20:e3:be:77:46,<hidden>,-85,2457,10,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,5a:d3:12:40:a7:3d,<hidden>,-85,5280,56,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,48:81:d4:0d:9c:4b,NNP,-85,5200,40,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,74:c9:a3:f5:2e:74,STORMTROOPER,-85,2412,1,2.4 GHz,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],Unknown,3
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,3f5595b4-b01c-434c-9e58-559dadc9817b,2026-04-03 01:17:28,"Lat: 13.681103927724994, Lng: 100.6106729819331, Accuracy: 4.9m",18,20:08:89:13:6a:fe,Sunsanee 2.4G,-86,2472,13,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,23
